1			Hawaiian Grammar				Google Books	C7Uvh-60JooC	http://books.google.com/books?id=C7Uvh-60JooC&lpg=PP1&dq=Grammar&pg=PR4#v=onepage&q&f=false		Preview		Latin-based	Hawaiian				
2			Old English Grammar				Google Books	Pk8KhTWc75UC	http://books.google.com/books?id=Pk8KhTWc75UC&lpg=PR2&dq=Grammar&pg=PR2#v=onepage&q&f=false					Old English				preview, no text
3			Italian Grammar				Google Books	DRj3FPrQk0AC	http://books.google.com/books?id=DRj3FPrQk0AC&lpg=PP1&dq=Grammar&pg=PP1#v=onepage&q&f=false				Latin-based	Italian				preview, no text
4			Fongbe Grammar				Google Books	801byTVQSuwC	http://books.google.com/books?id=801byTVQSuwC&lpg=PP1&dq=Grammar&pg=PP1#v=onepage&q&f=false					Fongbe				preview, no text
5			Italian Grammar				Google Books	uW8BAAAAYAAJ	http://books.google.com/books?id=uW8BAAAAYAAJ&dq=Grammar&pg=PP1#v=onepage&q&f=false		Full Text	Yes	Latin	Italian		None		
6			Tibetan Grammar				Google Books	cpIVAAAAYAAJ	http://books.google.com/books?id=cpIVAAAAYAAJ&dq=Grammar&pg=PP1#v=onepage&q&f=false		Full Text	No	Tibetan	Tibetan				no OCR for Tibetan orthography
7			Hungarian Grammar				Google Books	oyNdAAAAIAAJ	http://books.google.com/books?id=oyNdAAAAIAAJ&dq=Hungarian%20Grammar&pg=PP1#v=onepage&q&f=false		full view	Y		Hungarian				
8			A Simplified Grammar of the Swedish Language	1902			Google Books	mLFEAAAAIAAJ	http://books.google.com/books?id=mLFEAAAAIAAJ&dq=Simplified%20grammar%20of%20the%20language&pg=PR3#v=onepage&q&f=false		full view	Y	Latin-based	Swedish				
9			A Simplified Grammar of the Pali Language	1884			Google Books	PRIAAAAAYAAJ	http://books.google.com/books?id=PRIAAAAAYAAJ&dq=Simplified%20grammar%20of%20the%20language&pg=PR3#v=onepage&q&f=false		Full Text		Latin	Pali				
10			A Simplified Grammar of the Polish Language; 1884				Google Books	2hIAAAAAYAAJ	http://books.google.com/books?id=2hIAAAAAYAAJ&dq=Simplified%20grammar%20of%20the%20language&pg=PP7#v=onepage&q&f=false		Full Text	Yes	Latin-based	Polish		English		
11			A Simplified Grammar of the Serbian Language; 1887				Google Books	TaATAAAAQAAJ	http://books.google.com/books?id=TaATAAAAQAAJ&dq=Simplified%20grammar%20of%20the%20language&pg=PP1#v=onepage&q&f=false		Full Text	Fragmentary	Cyrillic	Serbian				OCR: not for the Serbian Cyrillic text; some of the Cyrillic is marginally readable after OCR
12			A Simplified Grammar of the Hungarian Language				Google Books	oyNdAAAAIAAJ	http://books.google.com/books?id=oyNdAAAAIAAJ&dq=Simplified%20grammar%20of%20the%20language&pg=PR3#v=onepage&q&f=false					Hungarian				1882, full view, OCR text: accents recognized as apostrophes, other diacritics lost
13			A Simplified Grammar of the Telugu Language				Google Books	xS8rgNaOsegC	http://books.google.com/books?id=xS8rgNaOsegC&dq=Simplified%20grammar%20of%20the%20language&pg=PP1#v=onepage&q&f=false					Telugu				1890, full view, OCR: native orthography is lost, but usually is accompanied by a Latin transcription
14			A Simplified Grammar of the Roumanian Language	1883			Google Books	6DtAAAAAYAAJ	http://books.google.com/books?id=6DtAAAAAYAAJ&dq=Simplified%20grammar%20of%20the%20language&pg=PP11#v=onepage&q&f=false		Full Text			Romanian				a text view is provided, but every page seems to be an image rather than scanned text
15			A Simplified Grammar of the Danish Language	1884			Google Books	VPEIAAAAQAAJ	http://books.google.com/books?id=VPEIAAAAQAAJ&dq=Simplified%20grammar%20of%20the%20language&pg=PR3#v=onepage&q&f=false		Full Text		Latin	Danish				
