Wavelength,SRF,band_name,Sensor,GSD
488,0.00055981,Pan,Landsat 9,15
489,0.00071401,Pan,Landsat 9,15
490,0.00094114,Pan,Landsat 9,15
491,0.00127548,Pan,Landsat 9,15
492,0.00279056,Pan,Landsat 9,15
493,0.00389131,Pan,Landsat 9,15
494,0.00561835,Pan,Landsat 9,15
495,0.00819427,Pan,Landsat 9,15
496,0.01260893,Pan,Landsat 9,15
497,0.02082734,Pan,Landsat 9,15
498,0.03512893,Pan,Landsat 9,15
499,0.06172826,Pan,Landsat 9,15
500,0.11756328,Pan,Landsat 9,15
501,0.20695142,Pan,Landsat 9,15
502,0.35047555,Pan,Landsat 9,15
503,0.51840705,Pan,Landsat 9,15
504,0.6468308,Pan,Landsat 9,15
505,0.71721101,Pan,Landsat 9,15
506,0.73891264,Pan,Landsat 9,15
507,0.73804098,Pan,Landsat 9,15
508,0.73227501,Pan,Landsat 9,15
509,0.73230338,Pan,Landsat 9,15
510,0.73795259,Pan,Landsat 9,15
511,0.74557811,Pan,Landsat 9,15
512,0.74958354,Pan,Landsat 9,15
513,0.75100011,Pan,Landsat 9,15
514,0.7456966,Pan,Landsat 9,15
515,0.73948652,Pan,Landsat 9,15
516,0.73433906,Pan,Landsat 9,15
517,0.73298591,Pan,Landsat 9,15
518,0.73755181,Pan,Landsat 9,15
519,0.74583215,Pan,Landsat 9,15
520,0.75320041,Pan,Landsat 9,15
521,0.75733781,Pan,Landsat 9,15
522,0.75563645,Pan,Landsat 9,15
523,0.75066346,Pan,Landsat 9,15
524,0.74712878,Pan,Landsat 9,15
525,0.74614233,Pan,Landsat 9,15
526,0.75046557,Pan,Landsat 9,15
527,0.757276,Pan,Landsat 9,15
528,0.76255763,Pan,Landsat 9,15
529,0.76933599,Pan,Landsat 9,15
530,0.76426119,Pan,Landsat 9,15
531,0.76089823,Pan,Landsat 9,15
532,0.75593781,Pan,Landsat 9,15
533,0.74580657,Pan,Landsat 9,15
534,0.73709416,Pan,Landsat 9,15
535,0.75071329,Pan,Landsat 9,15
536,0.74780136,Pan,Landsat 9,15
537,0.76249135,Pan,Landsat 9,15
538,0.76414043,Pan,Landsat 9,15
539,0.75922489,Pan,Landsat 9,15
540,0.74998683,Pan,Landsat 9,15
541,0.74630529,Pan,Landsat 9,15
542,0.74671257,Pan,Landsat 9,15
543,0.75543088,Pan,Landsat 9,15
544,0.75887173,Pan,Landsat 9,15
545,0.76089638,Pan,Landsat 9,15
546,0.7569015,Pan,Landsat 9,15
547,0.74005193,Pan,Landsat 9,15
548,0.72667593,Pan,Landsat 9,15
549,0.7193951,Pan,Landsat 9,15
550,0.72856003,Pan,Landsat 9,15
551,0.74397302,Pan,Landsat 9,15
552,0.76320368,Pan,Landsat 9,15
553,0.78191006,Pan,Landsat 9,15
554,0.79408318,Pan,Landsat 9,15
555,0.79531306,Pan,Landsat 9,15
556,0.79247105,Pan,Landsat 9,15
557,0.78975105,Pan,Landsat 9,15
558,0.79136306,Pan,Landsat 9,15
559,0.79676938,Pan,Landsat 9,15
560,0.80500394,Pan,Landsat 9,15
561,0.81197274,Pan,Landsat 9,15
562,0.81878418,Pan,Landsat 9,15
563,0.82147866,Pan,Landsat 9,15
564,0.81793523,Pan,Landsat 9,15
565,0.80917293,Pan,Landsat 9,15
566,0.79949307,Pan,Landsat 9,15
567,0.79439282,Pan,Landsat 9,15
568,0.79288369,Pan,Landsat 9,15
569,0.80010444,Pan,Landsat 9,15
570,0.80942148,Pan,Landsat 9,15
571,0.81826901,Pan,Landsat 9,15
572,0.82481748,Pan,Landsat 9,15
573,0.82645559,Pan,Landsat 9,15
574,0.82283205,Pan,Landsat 9,15
575,0.81772399,Pan,Landsat 9,15
576,0.81348199,Pan,Landsat 9,15
577,0.81432569,Pan,Landsat 9,15
578,0.81980091,Pan,Landsat 9,15
579,0.82896656,Pan,Landsat 9,15
580,0.83787513,Pan,Landsat 9,15
581,0.84118545,Pan,Landsat 9,15
582,0.83640194,Pan,Landsat 9,15
583,0.82991207,Pan,Landsat 9,15
584,0.82210898,Pan,Landsat 9,15
585,0.81671482,Pan,Landsat 9,15
586,0.81798512,Pan,Landsat 9,15
587,0.82558936,Pan,Landsat 9,15
588,0.8370055,Pan,Landsat 9,15
589,0.84746104,Pan,Landsat 9,15
590,0.85366464,Pan,Landsat 9,15
591,0.8550694,Pan,Landsat 9,15
592,0.85333455,Pan,Landsat 9,15
593,0.85258639,Pan,Landsat 9,15
594,0.85494232,Pan,Landsat 9,15
595,0.86125129,Pan,Landsat 9,15
596,0.87052053,Pan,Landsat 9,15
597,0.87891728,Pan,Landsat 9,15
598,0.8835094,Pan,Landsat 9,15
599,0.88422352,Pan,Landsat 9,15
600,0.8804276,Pan,Landsat 9,15
601,0.87636942,Pan,Landsat 9,15
602,0.87454921,Pan,Landsat 9,15
603,0.87427628,Pan,Landsat 9,15
604,0.87942135,Pan,Landsat 9,15
605,0.88424522,Pan,Landsat 9,15
606,0.88828981,Pan,Landsat 9,15
607,0.89149511,Pan,Landsat 9,15
608,0.88984776,Pan,Landsat 9,15
609,0.88692278,Pan,Landsat 9,15
610,0.88409555,Pan,Landsat 9,15
611,0.8844744,Pan,Landsat 9,15
612,0.88792205,Pan,Landsat 9,15
613,0.89509708,Pan,Landsat 9,15
614,0.90393478,Pan,Landsat 9,15
615,0.91256452,Pan,Landsat 9,15
616,0.91933519,Pan,Landsat 9,15
617,0.92318392,Pan,Landsat 9,15
618,0.92334908,Pan,Landsat 9,15
619,0.92322367,Pan,Landsat 9,15
620,0.92271727,Pan,Landsat 9,15
621,0.92207175,Pan,Landsat 9,15
622,0.92361712,Pan,Landsat 9,15
623,0.92525572,Pan,Landsat 9,15
624,0.9287647,Pan,Landsat 9,15
625,0.93246269,Pan,Landsat 9,15
626,0.93536609,Pan,Landsat 9,15
627,0.93693691,Pan,Landsat 9,15
628,0.93770206,Pan,Landsat 9,15
629,0.93660849,Pan,Landsat 9,15
630,0.93482065,Pan,Landsat 9,15
631,0.93340796,Pan,Landsat 9,15
632,0.93537968,Pan,Landsat 9,15
633,0.93697798,Pan,Landsat 9,15
634,0.94104928,Pan,Landsat 9,15
635,0.94614661,Pan,Landsat 9,15
636,0.95185488,Pan,Landsat 9,15
637,0.95627266,Pan,Landsat 9,15
638,0.95843077,Pan,Landsat 9,15
639,0.95736688,Pan,Landsat 9,15
640,0.95565981,Pan,Landsat 9,15
641,0.95283598,Pan,Landsat 9,15
642,0.95041174,Pan,Landsat 9,15
643,0.94886798,Pan,Landsat 9,15
644,0.94887251,Pan,Landsat 9,15
645,0.95064622,Pan,Landsat 9,15
646,0.95328224,Pan,Landsat 9,15
647,0.95691651,Pan,Landsat 9,15
648,0.9610467,Pan,Landsat 9,15
649,0.96566254,Pan,Landsat 9,15
650,0.96974039,Pan,Landsat 9,15
651,0.97312099,Pan,Landsat 9,15
652,0.97521871,Pan,Landsat 9,15
653,0.97489649,Pan,Landsat 9,15
654,0.972332,Pan,Landsat 9,15
655,0.96867853,Pan,Landsat 9,15
656,0.96464068,Pan,Landsat 9,15
657,0.96061975,Pan,Landsat 9,15
658,0.96397477,Pan,Landsat 9,15
659,0.96756929,Pan,Landsat 9,15
660,0.97273779,Pan,Landsat 9,15
661,0.98216408,Pan,Landsat 9,15
662,0.9869532,Pan,Landsat 9,15
663,0.98877376,Pan,Landsat 9,15
664,0.98864222,Pan,Landsat 9,15
665,0.98769355,Pan,Landsat 9,15
666,0.98701572,Pan,Landsat 9,15
667,0.98726958,Pan,Landsat 9,15
668,0.99141115,Pan,Landsat 9,15
669,0.99577439,Pan,Landsat 9,15
670,1,Pan,Landsat 9,15
671,0.99740297,Pan,Landsat 9,15
672,0.98136055,Pan,Landsat 9,15
673,0.92713571,Pan,Landsat 9,15
674,0.79344761,Pan,Landsat 9,15
675,0.593741,Pan,Landsat 9,15
676,0.38244858,Pan,Landsat 9,15
677,0.22371659,Pan,Landsat 9,15
678,0.13053322,Pan,Landsat 9,15
679,0.07709492,Pan,Landsat 9,15
680,0.04784917,Pan,Landsat 9,15
681,0.03124457,Pan,Landsat 9,15
682,0.02128481,Pan,Landsat 9,15
683,0.01692485,Pan,Landsat 9,15
684,0.01253418,Pan,Landsat 9,15
685,0.00931615,Pan,Landsat 9,15
686,0.00690109,Pan,Landsat 9,15
687,0.00516988,Pan,Landsat 9,15
688,0.00380522,Pan,Landsat 9,15
689,0.00285749,Pan,Landsat 9,15
690,0.00203169,Pan,Landsat 9,15
691,0.00146685,Pan,Landsat 9,15
692,0.00104939,Pan,Landsat 9,15
427,0.00036798,CoastalAerosol,Landsat 9,30
428,0.00072189,CoastalAerosol,Landsat 9,30
429,0.00205797,CoastalAerosol,Landsat 9,30
430,0.00360595,CoastalAerosol,Landsat 9,30
431,0.00877048,CoastalAerosol,Landsat 9,30
432,0.0222446,CoastalAerosol,Landsat 9,30
433,0.07982337,CoastalAerosol,Landsat 9,30
434,0.23420422,CoastalAerosol,Landsat 9,30
435,0.49647373,CoastalAerosol,Landsat 9,30
436,0.76542354,CoastalAerosol,Landsat 9,30
437,0.9375785,CoastalAerosol,Landsat 9,30
438,0.9763267,CoastalAerosol,Landsat 9,30
439,0.98641855,CoastalAerosol,Landsat 9,30
440,0.9947381,CoastalAerosol,Landsat 9,30
441,0.98839664,CoastalAerosol,Landsat 9,30
442,0.97089148,CoastalAerosol,Landsat 9,30
443,0.96740282,CoastalAerosol,Landsat 9,30
444,0.97595501,CoastalAerosol,Landsat 9,30
445,0.98273933,CoastalAerosol,Landsat 9,30
446,0.98891443,CoastalAerosol,Landsat 9,30
447,1,CoastalAerosol,Landsat 9,30
448,0.98661834,CoastalAerosol,Landsat 9,30
449,0.87390488,CoastalAerosol,Landsat 9,30
450,0.64063799,CoastalAerosol,Landsat 9,30
451,0.33599678,CoastalAerosol,Landsat 9,30
452,0.13211244,CoastalAerosol,Landsat 9,30
453,0.04911467,CoastalAerosol,Landsat 9,30
454,0.01938601,CoastalAerosol,Landsat 9,30
455,0.00847867,CoastalAerosol,Landsat 9,30
456,0.00360224,CoastalAerosol,Landsat 9,30
457,0.00169454,CoastalAerosol,Landsat 9,30
458,0.00077237,CoastalAerosol,Landsat 9,30
459,0.00036698,CoastalAerosol,Landsat 9,30
436,0.0000641,Blue,Landsat 9,30
437,0.0000879,Blue,Landsat 9,30
438,0.00012288,Blue,Landsat 9,30
439,0.00017756,Blue,Landsat 9,30
440,0.00026465,Blue,Landsat 9,30
441,0.00040609,Blue,Landsat 9,30
442,0.00064757,Blue,Landsat 9,30
443,0.0010627,Blue,Landsat 9,30
444,0.00180834,Blue,Landsat 9,30
445,0.00423224,Blue,Landsat 9,30
446,0.00733809,Blue,Landsat 9,30
447,0.0132065,Blue,Landsat 9,30
448,0.02738087,Blue,Landsat 9,30
449,0.06140049,Blue,Landsat 9,30
450,0.12810045,Blue,Landsat 9,30
451,0.28426054,Blue,Landsat 9,30
452,0.52622634,Blue,Landsat 9,30
453,0.75461823,Blue,Landsat 9,30
454,0.85015893,Blue,Landsat 9,30
455,0.87050748,Blue,Landsat 9,30
456,0.87301528,Blue,Landsat 9,30
457,0.87386012,Blue,Landsat 9,30
458,0.87411314,Blue,Landsat 9,30
459,0.87535989,Blue,Landsat 9,30
460,0.87936622,Blue,Landsat 9,30
461,0.88182181,Blue,Landsat 9,30
462,0.88110375,Blue,Landsat 9,30
463,0.88239449,Blue,Landsat 9,30
464,0.88807994,Blue,Landsat 9,30
