step	semantic_branch_name	runtime_name	env_name	should_we_do_it
CREATE_VIRTUALENV	main	local	devops	True
CREATE_VIRTUALENV	main	local	sbx	True
CREATE_VIRTUALENV	main	ci	devops	True
CREATE_VIRTUALENV	main	ci	sbx	True
CREATE_VIRTUALENV	feature	local	devops	True
CREATE_VIRTUALENV	feature	local	sbx	True
CREATE_VIRTUALENV	feature	ci	devops	True
CREATE_VIRTUALENV	feature	ci	sbx	True
CREATE_VIRTUALENV	fix	local	devops	True
CREATE_VIRTUALENV	fix	local	sbx	True
CREATE_VIRTUALENV	fix	ci	devops	True
CREATE_VIRTUALENV	fix	ci	sbx	True
CREATE_VIRTUALENV	doc	local	devops	True
CREATE_VIRTUALENV	doc	local	sbx	True
CREATE_VIRTUALENV	doc	ci	devops	True
CREATE_VIRTUALENV	doc	ci	sbx	True
CREATE_VIRTUALENV	test	local	devops	True
CREATE_VIRTUALENV	test	local	sbx	True
CREATE_VIRTUALENV	test	ci	devops	True
CREATE_VIRTUALENV	test	ci	sbx	True
CREATE_VIRTUALENV	release	local	devops	True
CREATE_VIRTUALENV	release	local	sbx	True
CREATE_VIRTUALENV	release	ci	devops	True
CREATE_VIRTUALENV	release	ci	sbx	True
INSTALL_DEPENDENCIES	main	local	devops	True
INSTALL_DEPENDENCIES	main	local	sbx	True
INSTALL_DEPENDENCIES	main	ci	devops	True
INSTALL_DEPENDENCIES	main	ci	sbx	True
INSTALL_DEPENDENCIES	feature	local	devops	True
INSTALL_DEPENDENCIES	feature	local	sbx	True
INSTALL_DEPENDENCIES	feature	ci	devops	True
INSTALL_DEPENDENCIES	feature	ci	sbx	True
INSTALL_DEPENDENCIES	fix	local	devops	True
INSTALL_DEPENDENCIES	fix	local	sbx	True
INSTALL_DEPENDENCIES	fix	ci	devops	True
INSTALL_DEPENDENCIES	fix	ci	sbx	True
INSTALL_DEPENDENCIES	doc	local	devops	True
INSTALL_DEPENDENCIES	doc	local	sbx	True
INSTALL_DEPENDENCIES	doc	ci	devops	True
INSTALL_DEPENDENCIES	doc	ci	sbx	True
INSTALL_DEPENDENCIES	test	local	devops	True
INSTALL_DEPENDENCIES	test	local	sbx	True
INSTALL_DEPENDENCIES	test	ci	devops	True
INSTALL_DEPENDENCIES	test	ci	sbx	True
INSTALL_DEPENDENCIES	release	local	devops	True
INSTALL_DEPENDENCIES	release	local	sbx	True
INSTALL_DEPENDENCIES	release	ci	devops	True
INSTALL_DEPENDENCIES	release	ci	sbx	True
BUILD_SOURCE_CODE	main	local	devops	True
BUILD_SOURCE_CODE	main	local	sbx	True
BUILD_SOURCE_CODE	main	ci	devops	True
BUILD_SOURCE_CODE	main	ci	sbx	True
BUILD_SOURCE_CODE	feature	local	devops	True
BUILD_SOURCE_CODE	feature	local	sbx	True
BUILD_SOURCE_CODE	feature	ci	devops	True
BUILD_SOURCE_CODE	feature	ci	sbx	True
BUILD_SOURCE_CODE	fix	local	devops	True
BUILD_SOURCE_CODE	fix	local	sbx	True
BUILD_SOURCE_CODE	fix	ci	devops	True
BUILD_SOURCE_CODE	fix	ci	sbx	True
BUILD_SOURCE_CODE	doc	local	devops	True
BUILD_SOURCE_CODE	doc	local	sbx	True
BUILD_SOURCE_CODE	doc	ci	devops	True
BUILD_SOURCE_CODE	doc	ci	sbx	True
BUILD_SOURCE_CODE	test	local	devops	True
BUILD_SOURCE_CODE	test	local	sbx	True
BUILD_SOURCE_CODE	test	ci	devops	True
BUILD_SOURCE_CODE	test	ci	sbx	True
BUILD_SOURCE_CODE	release	local	devops	True
BUILD_SOURCE_CODE	release	local	sbx	True
BUILD_SOURCE_CODE	release	ci	devops	True
BUILD_SOURCE_CODE	release	ci	sbx	True
RUN_CODE_COVERAGE_TEST	main	local	devops	True
RUN_CODE_COVERAGE_TEST	main	local	sbx	True
RUN_CODE_COVERAGE_TEST	main	ci	devops	True
RUN_CODE_COVERAGE_TEST	main	ci	sbx	True
RUN_CODE_COVERAGE_TEST	feature	local	devops	True
RUN_CODE_COVERAGE_TEST	feature	local	sbx	True
RUN_CODE_COVERAGE_TEST	feature	ci	devops	True
RUN_CODE_COVERAGE_TEST	feature	ci	sbx	True
RUN_CODE_COVERAGE_TEST	fix	local	devops	True
RUN_CODE_COVERAGE_TEST	fix	local	sbx	True
RUN_CODE_COVERAGE_TEST	fix	ci	devops	True
RUN_CODE_COVERAGE_TEST	fix	ci	sbx	True
RUN_CODE_COVERAGE_TEST	doc	local	devops	True
RUN_CODE_COVERAGE_TEST	doc	local	sbx	True
RUN_CODE_COVERAGE_TEST	doc	ci	devops	True
RUN_CODE_COVERAGE_TEST	doc	ci	sbx	True
RUN_CODE_COVERAGE_TEST	test	local	devops	True
RUN_CODE_COVERAGE_TEST	test	local	sbx	True
RUN_CODE_COVERAGE_TEST	test	ci	devops	True
RUN_CODE_COVERAGE_TEST	test	ci	sbx	True
RUN_CODE_COVERAGE_TEST	release	local	devops	True
RUN_CODE_COVERAGE_TEST	release	local	sbx	True
RUN_CODE_COVERAGE_TEST	release	ci	devops	True
RUN_CODE_COVERAGE_TEST	release	ci	sbx	True
BUILD_DOCUMENTATION	main	local	devops	True
BUILD_DOCUMENTATION	main	local	sbx	True
BUILD_DOCUMENTATION	main	ci	devops	False
BUILD_DOCUMENTATION	main	ci	sbx	False
BUILD_DOCUMENTATION	feature	local	devops	True
BUILD_DOCUMENTATION	feature	local	sbx	True
BUILD_DOCUMENTATION	feature	ci	devops	False
BUILD_DOCUMENTATION	feature	ci	sbx	False
BUILD_DOCUMENTATION	fix	local	devops	True
BUILD_DOCUMENTATION	fix	local	sbx	True
BUILD_DOCUMENTATION	fix	ci	devops	False
BUILD_DOCUMENTATION	fix	ci	sbx	False
BUILD_DOCUMENTATION	doc	local	devops	True
BUILD_DOCUMENTATION	doc	local	sbx	True
BUILD_DOCUMENTATION	doc	ci	devops	True
BUILD_DOCUMENTATION	doc	ci	sbx	True
BUILD_DOCUMENTATION	test	local	devops	True
BUILD_DOCUMENTATION	test	local	sbx	True
BUILD_DOCUMENTATION	test	ci	devops	False
BUILD_DOCUMENTATION	test	ci	sbx	False
BUILD_DOCUMENTATION	release	local	devops	True
BUILD_DOCUMENTATION	release	local	sbx	True
BUILD_DOCUMENTATION	release	ci	devops	False
BUILD_DOCUMENTATION	release	ci	sbx	False
UPDATE_DOCUMENTATION	main	local	devops	True
UPDATE_DOCUMENTATION	main	local	sbx	True
UPDATE_DOCUMENTATION	main	ci	devops	False
UPDATE_DOCUMENTATION	main	ci	sbx	False
UPDATE_DOCUMENTATION	feature	local	devops	True
UPDATE_DOCUMENTATION	feature	local	sbx	True
UPDATE_DOCUMENTATION	feature	ci	devops	False
UPDATE_DOCUMENTATION	feature	ci	sbx	False
UPDATE_DOCUMENTATION	fix	local	devops	True
UPDATE_DOCUMENTATION	fix	local	sbx	True
UPDATE_DOCUMENTATION	fix	ci	devops	False
UPDATE_DOCUMENTATION	fix	ci	sbx	False
UPDATE_DOCUMENTATION	doc	local	devops	True
UPDATE_DOCUMENTATION	doc	local	sbx	True
UPDATE_DOCUMENTATION	doc	ci	devops	True
UPDATE_DOCUMENTATION	doc	ci	sbx	True
UPDATE_DOCUMENTATION	test	local	devops	True
UPDATE_DOCUMENTATION	test	local	sbx	True
UPDATE_DOCUMENTATION	test	ci	devops	False
UPDATE_DOCUMENTATION	test	ci	sbx	False
UPDATE_DOCUMENTATION	release	local	devops	True
UPDATE_DOCUMENTATION	release	local	sbx	True
UPDATE_DOCUMENTATION	release	ci	devops	False
UPDATE_DOCUMENTATION	release	ci	sbx	False
RUN_INTEGRATION_TEST	main	local	devops	True
RUN_INTEGRATION_TEST	main	local	sbx	True
RUN_INTEGRATION_TEST	main	ci	devops	False
RUN_INTEGRATION_TEST	main	ci	sbx	False
RUN_INTEGRATION_TEST	feature	local	devops	True
RUN_INTEGRATION_TEST	feature	local	sbx	True
RUN_INTEGRATION_TEST	feature	ci	devops	False
RUN_INTEGRATION_TEST	feature	ci	sbx	False
RUN_INTEGRATION_TEST	fix	local	devops	True
RUN_INTEGRATION_TEST	fix	local	sbx	True
RUN_INTEGRATION_TEST	fix	ci	devops	False
RUN_INTEGRATION_TEST	fix	ci	sbx	False
RUN_INTEGRATION_TEST	doc	local	devops	True
RUN_INTEGRATION_TEST	doc	local	sbx	True
RUN_INTEGRATION_TEST	doc	ci	devops	False
RUN_INTEGRATION_TEST	doc	ci	sbx	False
RUN_INTEGRATION_TEST	test	local	devops	True
RUN_INTEGRATION_TEST	test	local	sbx	True
RUN_INTEGRATION_TEST	test	ci	devops	True
RUN_INTEGRATION_TEST	test	ci	sbx	True
RUN_INTEGRATION_TEST	release	local	devops	True
RUN_INTEGRATION_TEST	release	local	sbx	True
RUN_INTEGRATION_TEST	release	ci	devops	True
RUN_INTEGRATION_TEST	release	ci	sbx	True
PUBLISH_PACKAGE	main	local	devops	True
PUBLISH_PACKAGE	main	local	sbx	True
PUBLISH_PACKAGE	main	ci	devops	False
PUBLISH_PACKAGE	main	ci	sbx	False
PUBLISH_PACKAGE	feature	local	devops	False
PUBLISH_PACKAGE	feature	local	sbx	False
PUBLISH_PACKAGE	feature	ci	devops	False
PUBLISH_PACKAGE	feature	ci	sbx	False
PUBLISH_PACKAGE	fix	local	devops	False
PUBLISH_PACKAGE	fix	local	sbx	False
PUBLISH_PACKAGE	fix	ci	devops	False
PUBLISH_PACKAGE	fix	ci	sbx	False
PUBLISH_PACKAGE	doc	local	devops	False
PUBLISH_PACKAGE	doc	local	sbx	False
PUBLISH_PACKAGE	doc	ci	devops	False
PUBLISH_PACKAGE	doc	ci	sbx	False
PUBLISH_PACKAGE	test	local	devops	False
PUBLISH_PACKAGE	test	local	sbx	False
PUBLISH_PACKAGE	test	ci	devops	False
PUBLISH_PACKAGE	test	ci	sbx	False
PUBLISH_PACKAGE	release	local	devops	True
PUBLISH_PACKAGE	release	local	sbx	True
PUBLISH_PACKAGE	release	ci	devops	True
PUBLISH_PACKAGE	release	ci	sbx	True
