step	semantic_branch_name	runtime_name	env_name	should_we_do_it
CREATE_VIRTUALENV	main	local	devops	True
CREATE_VIRTUALENV	main	local	sbx	True
CREATE_VIRTUALENV	main	local	tst	True
CREATE_VIRTUALENV	main	local	stg	True
CREATE_VIRTUALENV	main	local	prd	True
CREATE_VIRTUALENV	main	ci	devops	True
CREATE_VIRTUALENV	main	ci	sbx	True
CREATE_VIRTUALENV	main	ci	tst	True
CREATE_VIRTUALENV	main	ci	stg	True
CREATE_VIRTUALENV	main	ci	prd	True
CREATE_VIRTUALENV	feature	local	devops	True
CREATE_VIRTUALENV	feature	local	sbx	True
CREATE_VIRTUALENV	feature	local	tst	True
CREATE_VIRTUALENV	feature	local	stg	True
CREATE_VIRTUALENV	feature	local	prd	True
CREATE_VIRTUALENV	feature	ci	devops	True
CREATE_VIRTUALENV	feature	ci	sbx	True
CREATE_VIRTUALENV	feature	ci	ci	True
CREATE_VIRTUALENV	feature	ci	stg	True
CREATE_VIRTUALENV	feature	ci	prd	True
CREATE_VIRTUALENV	fix	local	devops	True
CREATE_VIRTUALENV	fix	local	sbx	True
CREATE_VIRTUALENV	fix	local	tst	True
CREATE_VIRTUALENV	fix	local	stg	True
CREATE_VIRTUALENV	fix	local	prd	True
CREATE_VIRTUALENV	fix	ci	devops	True
CREATE_VIRTUALENV	fix	ci	sbx	True
CREATE_VIRTUALENV	fix	ci	tst	True
CREATE_VIRTUALENV	fix	ci	stg	True
CREATE_VIRTUALENV	fix	ci	prd	True
CREATE_VIRTUALENV	doc	local	devops	True
CREATE_VIRTUALENV	doc	local	sbx	True
CREATE_VIRTUALENV	doc	local	tst	True
CREATE_VIRTUALENV	doc	local	stg	True
CREATE_VIRTUALENV	doc	local	prd	True
CREATE_VIRTUALENV	doc	ci	devops	True
CREATE_VIRTUALENV	doc	ci	sbx	True
CREATE_VIRTUALENV	doc	ci	tst	True
CREATE_VIRTUALENV	doc	ci	stg	True
CREATE_VIRTUALENV	doc	ci	prd	True
CREATE_VIRTUALENV	ecr	local	devops	True
CREATE_VIRTUALENV	ecr	local	sbx	True
CREATE_VIRTUALENV	ecr	local	tst	True
CREATE_VIRTUALENV	ecr	local	stg	True
CREATE_VIRTUALENV	ecr	local	prd	True
CREATE_VIRTUALENV	ecr	ci	devops	True
CREATE_VIRTUALENV	ecr	ci	sbx	True
CREATE_VIRTUALENV	ecr	ci	tst	True
CREATE_VIRTUALENV	ecr	ci	stg	True
CREATE_VIRTUALENV	ecr	ci	prd	True
CREATE_VIRTUALENV	app	local	devops	True
CREATE_VIRTUALENV	app	local	sbx	True
CREATE_VIRTUALENV	app	local	tst	True
CREATE_VIRTUALENV	app	local	stg	True
CREATE_VIRTUALENV	app	local	prd	True
CREATE_VIRTUALENV	app	ci	devops	True
CREATE_VIRTUALENV	app	ci	sbx	True
CREATE_VIRTUALENV	app	ci	tst	True
CREATE_VIRTUALENV	app	ci	stg	True
CREATE_VIRTUALENV	app	ci	prd	True
CREATE_VIRTUALENV	release	local	devops	True
CREATE_VIRTUALENV	release	local	sbx	True
CREATE_VIRTUALENV	release	local	tst	True
CREATE_VIRTUALENV	release	local	stg	True
CREATE_VIRTUALENV	release	local	prd	True
CREATE_VIRTUALENV	release	ci	devops	True
CREATE_VIRTUALENV	release	ci	sbx	True
CREATE_VIRTUALENV	release	ci	tst	True
CREATE_VIRTUALENV	release	ci	stg	True
CREATE_VIRTUALENV	release	ci	prd	True
CREATE_VIRTUALENV	cleanup	local	devops	True
CREATE_VIRTUALENV	cleanup	local	sbx	True
CREATE_VIRTUALENV	cleanup	local	tst	True
CREATE_VIRTUALENV	cleanup	local	stg	True
CREATE_VIRTUALENV	cleanup	local	prd	True
CREATE_VIRTUALENV	cleanup	ci	devops	True
CREATE_VIRTUALENV	cleanup	ci	sbx	True
CREATE_VIRTUALENV	cleanup	ci	tst	True
CREATE_VIRTUALENV	cleanup	ci	stg	True
CREATE_VIRTUALENV	cleanup	ci	prd	True
INSTALL_DEPENDENCIES	main	local	devops	True
INSTALL_DEPENDENCIES	main	local	sbx	True
INSTALL_DEPENDENCIES	main	local	tst	True
INSTALL_DEPENDENCIES	main	local	stg	True
INSTALL_DEPENDENCIES	main	local	prd	True
INSTALL_DEPENDENCIES	main	ci	devops	True
INSTALL_DEPENDENCIES	main	ci	sbx	True
INSTALL_DEPENDENCIES	main	ci	tst	True
INSTALL_DEPENDENCIES	main	ci	stg	True
INSTALL_DEPENDENCIES	main	ci	prd	True
INSTALL_DEPENDENCIES	feature	local	devops	True
INSTALL_DEPENDENCIES	feature	local	sbx	True
INSTALL_DEPENDENCIES	feature	local	tst	True
INSTALL_DEPENDENCIES	feature	local	stg	True
INSTALL_DEPENDENCIES	feature	local	prd	True
INSTALL_DEPENDENCIES	feature	ci	devops	True
INSTALL_DEPENDENCIES	feature	ci	sbx	True
INSTALL_DEPENDENCIES	feature	ci	tst	True
INSTALL_DEPENDENCIES	feature	ci	stg	True
INSTALL_DEPENDENCIES	feature	ci	prd	True
INSTALL_DEPENDENCIES	fix	local	devops	True
INSTALL_DEPENDENCIES	fix	local	sbx	True
INSTALL_DEPENDENCIES	fix	local	tst	True
INSTALL_DEPENDENCIES	fix	local	stg	True
INSTALL_DEPENDENCIES	fix	local	prd	True
INSTALL_DEPENDENCIES	fix	ci	devops	True
INSTALL_DEPENDENCIES	fix	ci	sbx	True
INSTALL_DEPENDENCIES	fix	ci	tst	True
INSTALL_DEPENDENCIES	fix	ci	stg	True
INSTALL_DEPENDENCIES	fix	ci	prd	True
INSTALL_DEPENDENCIES	doc	local	devops	True
INSTALL_DEPENDENCIES	doc	local	sbx	True
INSTALL_DEPENDENCIES	doc	local	tst	True
INSTALL_DEPENDENCIES	doc	local	stg	True
INSTALL_DEPENDENCIES	doc	local	prd	True
INSTALL_DEPENDENCIES	doc	ci	devops	True
INSTALL_DEPENDENCIES	doc	ci	sbx	True
INSTALL_DEPENDENCIES	doc	ci	tst	True
INSTALL_DEPENDENCIES	doc	ci	stg	True
INSTALL_DEPENDENCIES	doc	ci	prd	True
INSTALL_DEPENDENCIES	ecr	local	devops	True
INSTALL_DEPENDENCIES	ecr	local	sbx	True
INSTALL_DEPENDENCIES	ecr	local	tst	True
INSTALL_DEPENDENCIES	ecr	local	stg	True
INSTALL_DEPENDENCIES	ecr	local	prd	True
INSTALL_DEPENDENCIES	ecr	ci	devops	True
INSTALL_DEPENDENCIES	ecr	ci	sbx	True
INSTALL_DEPENDENCIES	ecr	ci	tst	True
INSTALL_DEPENDENCIES	ecr	ci	stg	True
INSTALL_DEPENDENCIES	ecr	ci	prd	True
INSTALL_DEPENDENCIES	app	local	devops	True
INSTALL_DEPENDENCIES	app	local	sbx	True
INSTALL_DEPENDENCIES	app	local	tst	True
INSTALL_DEPENDENCIES	app	local	stg	True
INSTALL_DEPENDENCIES	app	local	prd	True
INSTALL_DEPENDENCIES	app	ci	devops	True
INSTALL_DEPENDENCIES	app	ci	sbx	True
INSTALL_DEPENDENCIES	app	ci	tst	True
INSTALL_DEPENDENCIES	app	ci	stg	True
INSTALL_DEPENDENCIES	app	ci	prd	True
INSTALL_DEPENDENCIES	release	local	devops	True
INSTALL_DEPENDENCIES	release	local	sbx	True
INSTALL_DEPENDENCIES	release	local	tst	True
INSTALL_DEPENDENCIES	release	local	stg	True
INSTALL_DEPENDENCIES	release	local	prd	True
INSTALL_DEPENDENCIES	release	ci	devops	True
INSTALL_DEPENDENCIES	release	ci	sbx	True
INSTALL_DEPENDENCIES	release	ci	tst	True
INSTALL_DEPENDENCIES	release	ci	stg	True
INSTALL_DEPENDENCIES	release	ci	prd	True
INSTALL_DEPENDENCIES	cleanup	local	devops	True
INSTALL_DEPENDENCIES	cleanup	local	sbx	True
INSTALL_DEPENDENCIES	cleanup	local	tst	True
INSTALL_DEPENDENCIES	cleanup	local	stg	True
INSTALL_DEPENDENCIES	cleanup	local	prd	True
INSTALL_DEPENDENCIES	cleanup	ci	devops	True
INSTALL_DEPENDENCIES	cleanup	ci	sbx	True
INSTALL_DEPENDENCIES	cleanup	ci	tst	True
INSTALL_DEPENDENCIES	cleanup	ci	stg	True
INSTALL_DEPENDENCIES	cleanup	ci	prd	True
DEPLOY_CONFIG	main	local	devops	True
DEPLOY_CONFIG	main	local	sbx	True
DEPLOY_CONFIG	main	local	tst	True
DEPLOY_CONFIG	main	local	stg	True
DEPLOY_CONFIG	main	local	prd	True
DEPLOY_CONFIG	main	ci	devops	False
DEPLOY_CONFIG	main	ci	sbx	False
DEPLOY_CONFIG	main	ci	tst	False
DEPLOY_CONFIG	main	ci	stg	False
DEPLOY_CONFIG	main	ci	prd	False
DEPLOY_CONFIG	feature	local	devops	True
DEPLOY_CONFIG	feature	local	sbx	True
DEPLOY_CONFIG	feature	local	tst	True
DEPLOY_CONFIG	feature	local	stg	True
DEPLOY_CONFIG	feature	local	prd	True
DEPLOY_CONFIG	feature	ci	devops	False
DEPLOY_CONFIG	feature	ci	sbx	False
DEPLOY_CONFIG	feature	ci	tst	False
DEPLOY_CONFIG	feature	ci	stg	False
DEPLOY_CONFIG	feature	ci	prd	False
DEPLOY_CONFIG	fix	local	devops	True
DEPLOY_CONFIG	fix	local	sbx	True
DEPLOY_CONFIG	fix	local	tst	True
DEPLOY_CONFIG	fix	local	stg	True
DEPLOY_CONFIG	fix	local	prd	True
DEPLOY_CONFIG	fix	ci	devops	False
DEPLOY_CONFIG	fix	ci	sbx	False
DEPLOY_CONFIG	fix	ci	tst	False
DEPLOY_CONFIG	fix	ci	stg	False
DEPLOY_CONFIG	fix	ci	prd	False
DEPLOY_CONFIG	doc	local	devops	True
DEPLOY_CONFIG	doc	local	sbx	True
DEPLOY_CONFIG	doc	local	tst	True
DEPLOY_CONFIG	doc	local	stg	True
DEPLOY_CONFIG	doc	local	prd	True
DEPLOY_CONFIG	doc	ci	devops	False
DEPLOY_CONFIG	doc	ci	sbx	False
DEPLOY_CONFIG	doc	ci	tst	False
DEPLOY_CONFIG	doc	ci	stg	False
DEPLOY_CONFIG	doc	ci	prd	False
DEPLOY_CONFIG	ecr	local	devops	True
DEPLOY_CONFIG	ecr	local	sbx	True
DEPLOY_CONFIG	ecr	local	tst	True
DEPLOY_CONFIG	ecr	local	stg	True
DEPLOY_CONFIG	ecr	local	prd	True
DEPLOY_CONFIG	ecr	ci	devops	False
DEPLOY_CONFIG	ecr	ci	sbx	False
DEPLOY_CONFIG	ecr	ci	tst	False
DEPLOY_CONFIG	ecr	ci	stg	False
DEPLOY_CONFIG	ecr	ci	prd	False
DEPLOY_CONFIG	app	local	devops	True
DEPLOY_CONFIG	app	local	sbx	True
DEPLOY_CONFIG	app	local	tst	True
DEPLOY_CONFIG	app	local	stg	True
DEPLOY_CONFIG	app	local	prd	True
DEPLOY_CONFIG	app	ci	devops	False
DEPLOY_CONFIG	app	ci	sbx	False
DEPLOY_CONFIG	app	ci	tst	False
DEPLOY_CONFIG	app	ci	stg	False
DEPLOY_CONFIG	app	ci	prd	False
DEPLOY_CONFIG	release	local	devops	True
DEPLOY_CONFIG	release	local	sbx	True
DEPLOY_CONFIG	release	local	tst	True
DEPLOY_CONFIG	release	local	stg	True
DEPLOY_CONFIG	release	local	prd	True
DEPLOY_CONFIG	release	ci	devops	False
DEPLOY_CONFIG	release	ci	sbx	False
DEPLOY_CONFIG	release	ci	tst	False
DEPLOY_CONFIG	release	ci	stg	False
DEPLOY_CONFIG	release	ci	prd	False
DEPLOY_CONFIG	cleanup	local	devops	True
DEPLOY_CONFIG	cleanup	local	sbx	True
DEPLOY_CONFIG	cleanup	local	tst	True
DEPLOY_CONFIG	cleanup	local	stg	True
DEPLOY_CONFIG	cleanup	local	prd	True
DEPLOY_CONFIG	cleanup	ci	devops	False
DEPLOY_CONFIG	cleanup	ci	sbx	False
DEPLOY_CONFIG	cleanup	ci	tst	False
DEPLOY_CONFIG	cleanup	ci	stg	False
DEPLOY_CONFIG	cleanup	ci	prd	False
BUILD_LAMBDA_SOURCE_LOCALLY	main	local	devops	True
BUILD_LAMBDA_SOURCE_LOCALLY	main	local	sbx	True
BUILD_LAMBDA_SOURCE_LOCALLY	main	local	tst	True
BUILD_LAMBDA_SOURCE_LOCALLY	main	local	stg	True
BUILD_LAMBDA_SOURCE_LOCALLY	main	local	prd	True
BUILD_LAMBDA_SOURCE_LOCALLY	main	ci	devops	True
BUILD_LAMBDA_SOURCE_LOCALLY	main	ci	sbx	True
BUILD_LAMBDA_SOURCE_LOCALLY	main	ci	tst	True
BUILD_LAMBDA_SOURCE_LOCALLY	main	ci	stg	True
BUILD_LAMBDA_SOURCE_LOCALLY	main	ci	prd	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	local	devops	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	local	sbx	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	local	tst	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	local	stg	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	local	prd	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	ci	devops	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	ci	sbx	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	ci	tst	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	ci	stg	True
BUILD_LAMBDA_SOURCE_LOCALLY	feature	ci	prd	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	local	devops	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	local	sbx	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	local	tst	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	local	stg	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	local	prd	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	ci	devops	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	ci	sbx	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	ci	tst	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	ci	stg	True
BUILD_LAMBDA_SOURCE_LOCALLY	fix	ci	prd	True
BUILD_LAMBDA_SOURCE_LOCALLY	doc	local	devops	True
BUILD_LAMBDA_SOURCE_LOCALLY	doc	local	sbx	True
BUILD_LAMBDA_SOURCE_LOCALLY	doc	local	tst	True
BUILD_LAMBDA_SOURCE_LOCALLY	doc	local	stg	True
BUILD_LAMBDA_SOURCE_LOCALLY	doc	local	prd	True
BUILD_LAMBDA_SOURCE_LOCALLY	doc	ci	devops	True
BUILD_LAMBDA_SOURCE_LOCALLY	doc	ci	sbx	True
BUILD_LAMBDA_SOURCE_LOCALLY	doc	ci	tst	True
BUILD_LAMBDA_SOURCE_LOCALLY	doc	ci	stg	True
