,category,hh_meta_brand,hh_meta_id,image_url,name,price,price_std,url
323,Herren > Mode > Hemden,boggi milano,1329128500,https://www.globus.ch/cf-media/akeneo/3666400440890_FP_PNG_1/1715854758,Hemd beige,90.0,129.0,https://www.globus.ch/boggi-hemd-1329128500801
327,Herren > Mode > Hemden,boggi milano,1326684500,https://www.globus.ch/cf-media/akeneo/3666400257245_FP_PNG_1/1712051236,Hemd hellblau,76.0,109.0,https://www.globus.ch/boggi-hemd-1326684500503
329,Herren > Mode > Hemden,boggi milano,1326150000,https://www.globus.ch/cf-media/akeneo/3666400257726_FP_PNG_1/1712051240,Hemd azurblau,76.0,109.0,https://www.globus.ch/boggi-hemd-1326150000512
330,Herren > Mode > Hemden,boggi milano,1326885200,https://www.globus.ch/cf-media/akeneo/3666400361805_FP_PNG_1/1712043054,Casualhemd blau,90.0,129.0,https://www.globus.ch/boggi-casualhemd-1326885200520
331,Herren > Mode > Hemden,boggi milano,1326885400,https://www.globus.ch/cf-media/akeneo/3666400361737_FP_PNG_1/1712043052,Casualhemd indigo,103.0,129.0,https://www.globus.ch/boggi-casualhemd-1326885400519
332,Herren > Mode > Hemden,boggi milano,1326886800,https://www.globus.ch/cf-media/akeneo/3666400376465_FP_PNG_1/1712043102,Hemd blau,77.0,129.0,https://www.globus.ch/boggi-hemd-1326886800520
335,Herren > Mode > Hemden,boggi milano,1326141400,https://www.globus.ch/cf-media/akeneo/3666400245709_FP_PNG_1/1712051206,Hemd hellblau,65.0,109.0,https://www.globus.ch/boggi-hemd-1326141400503
340,Herren > Mode > Hemden,boggi milano,1326885700,https://www.globus.ch/cf-media/akeneo/3666400361102_FP_PNG_1/1712043044,Casualhemd schwarz,83.0,119.0,https://www.globus.ch/boggi-casualhemd-1326885700739
341,Herren > Mode > Hemden,boggi milano,1326828500,https://www.globus.ch/cf-media/akeneo/3666400254756_FP_PNG_1/1712051228,Hemd azurblau,83.0,119.0,https://www.globus.ch/boggi-hemd-1326828500512
345,Herren > Mode > Hemden,boggi milano,1329128700,https://www.globus.ch/cf-media/akeneo/3666400517004_FP_PNG_1/1715854594,Hemd braun,90.0,129.0,https://www.globus.ch/boggi-hemd-1329128700820
346,Herren > Mode > Hemden,boggi milano,1329130000,https://www.globus.ch/cf-media/akeneo/3666400410701_FP_PNG_1/1715854475,Hemd hellblau,60.0,119.0,https://www.globus.ch/boggi-hemd-1329130000503
350,Herren > Mode > Hemden,boggi milano,1329130100,https://www.globus.ch/cf-media/akeneo/3666400410466_FP_PNG_1/1715854433,Hemd hellblau,60.0,119.0,https://www.globus.ch/boggi-hemd-1329130100503
355,Herren > Mode > Hemden,boggi milano,1329129600,https://www.globus.ch/cf-media/akeneo/3666400439016_FP_PNG_1/1715854609,Hemd weiss,90.0,129.0,https://www.globus.ch/boggi-hemd-1329129600000
360,Herren > Mode > Hemden,boggi milano,1326140800,https://www.globus.ch/cf-media/akeneo/3666400254633_FP_PNG_1/1712051226,Hemd hellblau,60.0,119.0,https://www.globus.ch/boggi-hemd-1326140800503
361,Herren > Mode > Hemden,boggi milano,1326150300,https://www.globus.ch/cf-media/akeneo/3666400255180_FP_PNG_1/1712051231,Hemd azurblau,60.0,119.0,https://www.globus.ch/boggi-hemd-1326150300512
