"t","segmentID","roughTracing","segment","radius","modified"
0,0,"LINESTRING Z (354 240 31, 359 240 31, 363 236 31, 391 236 31, 395 232 31, 411 231 31, 416 226 31, 430 225 31, 438 219 31, 457 216 31, 460 213 31, 481 213 31, 489 212 31, 492 209 31, 513 209 31, 516 206 31, 546 206 31, 548 204 31, 586 203 30.889, 592 201 30.667, 627 201 30.333, 680 203 30.111, 683 206 30, 699 207 30, 712 215 29.778, 821 215 29.444, 828 220 29, 846 221 28.889, 849 224 28.778, 855 226 28.667, 866 227 28.333, 869 230 28.111, 875 231 28, 879 235 28, 884 235 28, 887 238 28, 897 240 28, 909 246 28, 913 250 28, 929 249 28, 943 253 28, 951 252 28, 954 250 28, 985 250 28, 993 249 28, 996 246 28, 1021 244 28)","LINESTRING Z (354 240 31, 359 240 31, 363 236 31, 391 236 31, 395 232 31, 411 231 31, 416 226 31, 430 225 31, 438 219 31, 457 216 31, 460 213 31, 481 213 31, 489 212 31, 492 209 31, 513 209 31, 516 206 31, 546 206 31, 548 204 31, 586 203 30.889, 592 201 30.667, 627 201 30.333, 680 203 30.111, 683 206 30, 699 207 30, 712 215 29.778, 821 215 29.444, 828 220 29, 846 221 28.889, 849 224 28.778, 855 226 28.667, 866 227 28.333, 869 230 28.111, 875 231 28, 879 235 28, 884 235 28, 887 238 28, 897 240 28, 909 246 28, 913 250 28, 929 249 28, 943 253 28, 951 252 28, 954 250 28, 985 250 28, 993 249 28, 996 246 28, 1021 244 28)",4,0
0,1,"LINESTRING Z (353 246 30, 355 248 30.25, 355 256 30.278, 363 262 30.389, 363 264 30.222, 376 278 30, 378 284 29.667, 393 295 29.222, 411 314 28.778, 415 320 28.222, 415 324 27.778, 431 342 27.333, 434 342 27.111, 441 348 27, 443 348 27, 452 357 26.889, 456 357 26.667, 468 364 26.333, 471 364 26.111, 477 370 25.889, 482 370 25.667, 501 385 25.222, 523 385 24.667, 532 391 23.778, 536 391 22.778, 539 395 21.889, 542 396 21.444, 550 395 21.333, 557 399 21.111, 569 398 20.778, 571 400 20.333, 579 400 20.111, 583 398 20.111, 590 398 20.333, 595 401 20.667, 599 400 20.778, 603 404 20.778, 608 404 20.556, 618 409 20.444, 627 411 20.333, 632 415 20.333, 640 416 20.444, 648 420 20.556, 658 419 20.778, 669 415 20.778, 678 416 20.667, 685 424 20.333, 692 429 20.111, 703 443 20.111, 704 450 20.333, 700 456 20.667)","LINESTRING Z (353 246 30, 355 248 30.25, 355 256 30.278, 363 262 30.389, 363 264 30.222, 376 278 30, 378 284 29.667, 393 295 29.222, 411 314 28.778, 415 320 28.222, 415 324 27.778, 431 342 27.333, 434 342 27.111, 441 348 27, 443 348 27, 452 357 26.889, 456 357 26.667, 468 364 26.333, 471 364 26.111, 477 370 25.889, 482 370 25.667, 501 385 25.222, 523 385 24.667, 532 391 23.778, 536 391 22.778, 539 395 21.889, 542 396 21.444, 550 395 21.333, 557 399 21.111, 569 398 20.778, 571 400 20.333, 579 400 20.111, 583 398 20.111, 590 398 20.333, 595 401 20.667, 599 400 20.778, 603 404 20.778, 608 404 20.556, 618 409 20.444, 627 411 20.333, 632 415 20.333, 640 416 20.444, 648 420 20.556, 658 419 20.778, 669 415 20.778, 678 416 20.667, 685 424 20.333, 692 429 20.111, 703 443 20.111, 704 450 20.333, 700 456 20.667)",4,0
0,2,"LINESTRING Z (249 524 26, 247 529 26.25, 247 549 26.278, 244 555 26.389, 244 560 26.111, 242 562 25.778, 242 567 25.333, 240 571 25.111, 241 575 25, 238 578 25.111, 240 580 25.111, 240 586 25, 238 588 24.667, 236 597 24.556, 236 618 24.778, 238 621 24.889, 239 628 24.444, 237 632 23.333, 239 640 22.111, 238 648 21.333, 240 660 20.889, 242 663 20.889, 242 669 20.889, 244 671 21, 246 681 20.778, 249 684 20.555, 250 690 20.222, 258 700 20.333, 259 704 20.333, 267 711 20.556, 267 714 20.444, 275 720 20.444, 278 726 20.111, 288 735 19.778, 288 737 19.333, 292 740 19.111, 296 748 19, 300 752 19, 307 780 19.111, 310 783 19.333, 310 786 19.667, 315 796 19.778, 315 802 19.778, 318 805 19.667, 317 806 19.667, 322 812 19.667, 323 816 19.556, 334 830 19.556, 334 833 19.556, 343 847 19.667, 343 868 19.556, 345 878 19.222, 342 884 18.889, 341 891 18.667, 342 917 18.889, 344 925 19.222, 349 934 19.556, 349 939 19.556, 355 948 19.333, 354 949 19.111, 365 960 19.111, 372 971 19.333, 382 980 19.778, 386 986 20.111, 393 993 20.333, 396 993 20.222, 399 996 20.111, 398 997 20, 411 1011 20, 412 1016 20, 420 1023 20)","LINESTRING Z (249 524 26, 247 529 26.25, 247 549 26.278, 244 555 26.389, 244 560 26.111, 242 562 25.778, 242 567 25.333, 240 571 25.111, 241 575 25, 238 578 25.111, 240 580 25.111, 240 586 25, 238 588 24.667, 236 597 24.556, 236 618 24.778, 238 621 24.889, 239 628 24.444, 237 632 23.333, 239 640 22.111, 238 648 21.333, 240 660 20.889, 242 663 20.889, 242 669 20.889, 244 671 21, 246 681 20.778, 249 684 20.555, 250 690 20.222, 258 700 20.333, 259 704 20.333, 267 711 20.556, 267 714 20.444, 275 720 20.444, 278 726 20.111, 288 735 19.778, 288 737 19.333, 292 740 19.111, 296 748 19, 300 752 19, 307 780 19.111, 310 783 19.333, 310 786 19.667, 315 796 19.778, 315 802 19.778, 318 805 19.667, 317 806 19.667, 322 812 19.667, 323 816 19.556, 334 830 19.556, 334 833 19.556, 343 847 19.667, 343 868 19.556, 345 878 19.222, 342 884 18.889, 341 891 18.667, 342 917 18.889, 344 925 19.222, 349 934 19.556, 349 939 19.556, 355 948 19.333, 354 949 19.111, 365 960 19.111, 372 971 19.333, 382 980 19.778, 386 986 20.111, 393 993 20.333, 396 993 20.222, 399 996 20.111, 398 997 20, 411 1011 20, 412 1016 20, 420 1023 20)",4,0
0,3,"LINESTRING Z (170 281 35, 204 264 35.25, 213 264 35.389, 217 261 35.611, 229 259 35.667, 233 255 35.667, 238 255 35.778, 241 253 36, 255 252 36.222, 261 249 36.333, 290 249 36.222, 296 247 35.889, 312 247 35.333, 317 243 34.667, 326 243 34.222, 328 241 33.889, 349 241 33.778)","LINESTRING Z (170 281 35, 204 264 35.25, 213 264 35.389, 217 261 35.611, 229 259 35.667, 233 255 35.667, 238 255 35.778, 241 253 36, 255 252 36.222, 261 249 36.333, 290 249 36.222, 296 247 35.889, 312 247 35.333, 317 243 34.667, 326 243 34.222, 328 241 33.889, 349 241 33.778)",4,0
0,4,"LINESTRING Z (156 280 25, 157 287 25, 161 291 25, 162 301 25.111, 166 309 25.778, 166 318 27.111, 168 320 28.778, 169 325 30, 172 328 30.556, 171 329 30.778, 177 336 30.889, 177 339 31, 179 341 30.889, 179 347 30.778, 182 350 30.556, 182 354 30.444, 195 368 30.111, 198 378 29.778, 201 381 29.333, 202 387 29.111, 212 400 29.111, 213 406 29.222, 218 414 29.333, 218 417 29.222, 224 425 29.111, 225 439 29, 229 446 28.889, 230 452 28.778, 234 456 28.556, 238 476 28.444, 241 479 28.222, 242 487 28.111, 245 492 28, 245 503 27.889, 247 508 27.667)","LINESTRING Z (156 280 25, 157 287 25, 161 291 25, 162 301 25.111, 166 309 25.778, 166 318 27.111, 168 320 28.778, 169 325 30, 172 328 30.556, 171 329 30.778, 177 336 30.889, 177 339 31, 179 341 30.889, 179 347 30.778, 182 350 30.556, 182 354 30.444, 195 368 30.111, 198 378 29.778, 201 381 29.333, 202 387 29.111, 212 400 29.111, 213 406 29.222, 218 414 29.333, 218 417 29.222, 224 425 29.111, 225 439 29, 229 446 28.889, 230 452 28.778, 234 456 28.556, 238 476 28.444, 241 479 28.222, 242 487 28.111, 245 492 28, 245 503 27.889, 247 508 27.667)",4,2
