"spineID","segmentID","point","anchor","xBackgroundOffset","yBackgroundOffset","z","anchorZ","roiExtend","modified","t"
0,0,"POINT (431 239)","POINT (425 225.4)",21.0,0.0,31,31,4,0,0
1,0,"POINT (382 250)","POINT (378 236)",21.0,14.0,31.0,31.0,4,0,0
2,0,"POINT (416 245)","POINT (414 228)",21.0,14.0,31.0,31.0,4,0,0
3,0,"POINT (447 231)","POINT (444 218.1)",21.0,21.0,31.0,31.0,4,0,0
4,0,"POINT (486 229)","POINT (477 213)",21.0,14.0,31.0,31.0,4,0,0
5,0,"POINT (530 216)","POINT (527 206)",21.0,-7.0,31.0,31.0,4,0,0
6,0,"POINT (557 219)","POINT (557 203.8)",21.0,7.0,30.8,30.8,4,0,0
7,0,"POINT (579 213)","POINT (575 203.3)",21.0,0.0,30.3,30.3,4,0,0
8,0,"POINT (652 221)","POINT (653 202.5)",21.0,7.0,30.0,30.0,4,0,0
9,0,"POINT (667 221)","POINT (662 202.7)",21.0,14.0,30.0,30.0,4,0,0
10,0,"POINT (717 224)","POINT (721 215)",21.0,-7.0,28.0,28.0,4,0,0
11,0,"POINT (696 221)","POINT (698 206.9)",-21.0,21.0,30.0,30.0,4,0,0
12,0,"POINT (749 228)","POINT (745 214.2)",21.0,7.0,29.0,29.0,4,0,0
13,0,"POINT (759 237)","POINT (763 214.4)",21.0,21.0,29.0,29.0,4,0,0
14,0,"POINT (775 232)","POINT (778 214.5)",21.0,21.0,29.0,29.0,4,0,0
15,0,"POINT (784 226)","POINT (779 214.5)",21.0,21.0,29.0,29.0,4,0,0
16,0,"POINT (887 255)","POINT (897 240)",14.0,-21.0,28.0,28.0,4,0,0
17,0,"POINT (940 262)","POINT (938.8 251.8)",21.0,-21.0,28.0,28.0,4,0,0
18,0,"POINT (950 260)","POINT (954 250)",21.0,21.0,28.0,28.0,4,0,0
19,0,"POINT (1007 264)","POINT (1006 245.2)",21.0,-14.0,28.0,28.0,4,0,0
20,0,"POINT (1013 230)","POINT (1017 244.3)",-21.0,-7.0,28.0,28.0,4,0,0
21,0,"POINT (1007 233)","POINT (1002 245.5)",-21.0,-21.0,28.0,28.0,4,0,0
22,0,"POINT (990 225)","POINT (991 249.2)",-21.0,-14.0,28.0,28.0,4,0,0
