step	semantic_branch_name	runtime_name	env_name	should_we_do_it
DEPLOY_CONFIG	main	local	devops	0
DEPLOY_CONFIG	main	ci	devops	0
DEPLOY_CONFIG	release	local	devops	0
DEPLOY_CONFIG	release	ci	devops	0
CREATE_CONFIG_SNAPSHOT	main	local	devops	0
CREATE_CONFIG_SNAPSHOT	main	ci	devops	0
CREATE_CONFIG_SNAPSHOT	release	local	devops	0
CREATE_CONFIG_SNAPSHOT	release	ci	devops	0
DELETE_CONFIG	main	local	devops	0
DELETE_CONFIG	main	ci	devops	0
DELETE_CONFIG	release	local	devops	0
DELETE_CONFIG	release	ci	devops	0
