Category,ComponentName,ComponentLicense,ConflictingComponentName,ConflictingComponentLicense,ConflictingLicenseTerm,TermValue,ConflictingTermValue,TermDescription,ConflictingTermDescription
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Apache License 2.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Apache License 2.0,LightJason AgentSpeak(L++) 0.0.1,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Apache License 2.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Apache License 2.0,LightJason AgentSpeak(L++) 0.0.1,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Apache License 2.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.0.0,Apache License 2.0,LightJason AgentSpeak(L++) 0.0.1,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Apache License 2.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and multiple plugins 1.7.1.0,Apache License 2.0,LightJason AgentSpeak(L++) 0.0.1,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,ActFramework Starter - Eclipselink and multiple plugins 1.7.0.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,ActFramework Starter - Excel 1.7.0.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,ActFramework Starter - Excel 1.7.1.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,ActFramework Starter - Velocity 1.7.1.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,agent-bond-agent 1.2.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,agent-bond-core 1.2.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,agent-bond-jmx_exporter 1.2.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,agent-bond-jolokia 1.2.0,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,airframe-config 0.40,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,airframe-config 0.41,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,ActFramework Starter - EclipseLink and AAA 1.7.1.0,GNU Affero General Public License v3.0,airframe-jmx 0.40,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
