"år","navn","dato","dag","uke"
"2029","2. pinsedag","21.05.2029","mandag","21"
"2029","1. juledag","25.12.2029","tirsdag","52"
"2029","2. juledag","26.12.2029","onsdag","52"
"2030","1. nyttårsdag","01.01.2030","tirsdag","1"
"2030","Palmesøndag","14.04.2030","søndag","15"
"2030","Skjærtorsdag","18.04.2030","torsdag","16"
"2030","Langfredag","19.04.2030","fredag","16"
"2030","1. påskedag","21.04.2030","søndag","16"
"2030","2. påskedag","22.04.2030","mandag","17"
"2030","Offentlig høytidsdag","01.05.2030","onsdag","18"
"2030","Grunnlovsdag","17.05.2030","fredag","20"
"2030","Kristi Himmelfartsdag","30.05.2030","torsdag","22"
"2030","1. pinsedag","09.06.2030","søndag","23"
"2030","2. pinsedag","10.06.2030","mandag","24"
"2030","1. juledag","25.12.2030","onsdag","52"
"2030","2. juledag","26.12.2030","torsdag","52"
"2031","1. nyttårsdag","01.01.2031","onsdag","1"



